Variant;Respondent;Session;Useable;Baked Downloaded;Raw Downloaded;Discarded;Offset;Comment
H;1;OWs7yhZfKtxN7KCvckznXMwZ7;FALSE;FALSE;FALSE;FALSE;0;-
H;2;owPPhzSm6hun8XVZWjII5hc98;FALSE;FALSE;FALSE;FALSE;0;-
H;3;-;FALSE;FALSE;FALSE;FALSE;0;-
H;4;-;FALSE;FALSE;FALSE;FALSE;0;-
H;5;-;FALSE;FALSE;FALSE;FALSE;0;-
H;6;-;FALSE;FALSE;FALSE;FALSE;0;-
H;7;-;FALSE;FALSE;FALSE;FALSE;0;-
H;8;zQ7Fgof47cCzBPXxQJeGhJnV2;TRUE;TRUE;TRUE;FALSE;28;-
H;9;rylQ3c1YDHmH2z16N667P25ur;TRUE;TRUE;TRUE;FALSE;42;-
H;10;vqejkinLRVQcriGNfO1HTDZCH;TRUE;TRUE;TRUE;FALSE;27;-
H;11;RVXG8LvTUoHGmZN57TtZch7gZ;FALSE;FALSE;FALSE;FALSE;0;-
H;12;7WOt3EfJau0WZnN8KdPhBQw1e;FALSE;FALSE;FALSE;FALSE;0;-
H;13;1D8MTR8CmWT3j0PDwE6XeTzDA;FALSE;FALSE;FALSE;FALSE;0;-
H;14;-;FALSE;FALSE;FALSE;FALSE;0;-
H;15;-;FALSE;FALSE;FALSE;FALSE;0;-
H;16;HNOHl8JeG6f7um8Q7urdmGHv2;TRUE;TRUE;TRUE;FALSE;35;-
H;17;ND4JzksphUgG5Wv8tKwFeqWgn;TRUE;TRUE;TRUE;FALSE;27;-
H;18;-;FALSE;FALSE;FALSE;FALSE;0;-
H;19;O3uo4wA3Ed8keRwA6deYi6Rab;TRUE;TRUE;TRUE;FALSE;32;-
H;20;QvsO8C7KuWtv8EkZkQhNokRmk;TRUE;TRUE;TRUE;FALSE;19;-
H;21;Dm4Ppy2vcyORY4HjOFit9rset;TRUE;TRUE;TRUE;FALSE;28;-
H;22;S5hWYXKiuTVKRfpt09E29igz3;TRUE;TRUE;TRUE;FALSE;32;-
H;23;2lKQrit2oZVBPIcw69pd4omJX;TRUE;TRUE;TRUE;FALSE;59;Not native
H;24;882voqIpEbitqCqaPnwGfcpg5;TRUE;TRUE;TRUE;FALSE;30;-
H;25;2PhlcFZ0x7YfSKHazbb7savcm;TRUE;TRUE;TRUE;FALSE;30;No interaction data due to refresh
H;26;;FALSE;FALSE;FALSE;FALSE;0;-
H;27;6xR5Z1x5NMBD3JaexPDcs7QdK;TRUE;TRUE;TRUE;FALSE;76;-
H;29;N3kflkYS9KaBuAY2254U6fs2N;TRUE;TRUE;TRUE;FALSE;45;-
H;30;Ola3qzmV1VOuPWaC4L5yKHx6R;TRUE;TRUE;TRUE;FALSE;23;-
H;31;GMI7bc5KPML7e1J5QImOSHhWq;TRUE;TRUE;TRUE;FALSE;36;-
H;32;S89YkmvbMaqO3ZV3ndFjhBhdt;TRUE;TRUE;TRUE;FALSE;40;-
H;33;QOyHb6kuzNbTOjI5rPaxK8nD9;TRUE;TRUE;TRUE;FALSE;39;Recording of different screen
H;34;-;FALSE;FALSE;FALSE;FALSE;0;-
H;35;Ti4Tq5CfbPMpvkD1MAo0p5Qqf;TRUE;TRUE;TRUE;FALSE;30;-
H;36;-;FALSE;FALSE;FALSE;FALSE;0;-
H;37;-;FALSE;FALSE;FALSE;FALSE;0;-
H;38;-;FALSE;FALSE;FALSE;FALSE;0;-
H;39;7Ho9V849GqCWZ14vt69mxb3r9;TRUE;TRUE;TRUE;FALSE;41;-
H;40;ab0fMQH4EXOc94BsftzaGWlax;TRUE;TRUE;TRUE;FALSE;40;Unable to pair
H;41;-;FALSE;FALSE;FALSE;FALSE;0;-
H;42;kRz3CJFRN2OWvgCL0r8VoxQyo;TRUE;TRUE;TRUE;FALSE;30;-
H;43;-;FALSE;FALSE;FALSE;FALSE;0;Not fullscreen
H;44;-;FALSE;FALSE;FALSE;FALSE;0;-
H;45;oUtO55DDVT9Racyf1LZDzNTN3;TRUE;TRUE;TRUE;FALSE;30;-
H;46;-;FALSE;FALSE;FALSE;FALSE;0;-
H;47;2K5e4rwt0pjihz6IjuomSjTTQ;TRUE;TRUE;TRUE;FALSE;47;-
H;48;49fXkMzzQvQyymYXz0IxUrM0c;TRUE;TRUE;TRUE;FALSE;31;-
H;49;-;FALSE;FALSE;FALSE;FALSE;0;-
